###❝Корень эсперанто❞, ❝(полностью тот же) корень эсперанто❞   в строке означает、что хотя он имеет тот же приоритет、что и соответствующая строка замены、на практике замена строки (иероглифов) не выполняется.
varsovi,Варшава
verdigr,пати́на
vertebr,позвонок
vespert,летучая мышь
vestibl,вестибюль
vilhelm,Вильгельм
virtuoz,виртуоз
vitriol,витриол
zingibr,имбирь
akcipitr,ястреб
akuzativ,винительный падеж
argument,аргумент
arhxaism,архаизм
artisxok,артишок
baldaken,балдахин
briliant,драгоценность
diplomat,дипломат
distrikt,район
elizabet,Елизавета
fragment,фрагмент
framason,масон
frugileg,грач
hidrogen,водород
hortulan,овсянка
institut,институт
kantarid,жук-солдатик
kariofil,гвоздика
kartilag,хрящ
katarakt,катаракта
kocxenil,кошениль
kokcinel,божья коровка
konvulsi,судорога
leksikon,лексикон
marcipan,марципан
medalion,медальон
monarhxi,монархия
obstrukc,препятствие
paradoks,парадокс
parentez,скобка
particip,причастие
pasament,тесьма
pastinak,пастернак
pergamen,пергамент
peritone,брюшина
perlamot,перламутр
petromiz,минога
petrosel,петрушка
ranunkol,лютик
redaktor,редактор
rezultat,результат
rosmaren,розмарин
sergxent,сержант
sublimat,сублимат
tacxment,отряд
terebint,скипидар
tornistr,ранец
zamenhof,Заменгоф
aleksandr,Александр
anunciaci,благовещение
balustrad,перила
cxambelan,камергер
cxarlatan,шарлатан
deklinaci,склонение
diplomati,дипломатия
ekscelenc,превосходительство
ekzempler,экземпляр
entuziasm,энтузиазм
fortepian,рояль
galanteri,аксессуары
ihxtiokol,рыбий клей
instituci,учреждение
instrukci,инструкция
kancelari,канцелярия
kancelier,канцлер
kataplasm,пластырь
kondolenc,соболезнование
konjugaci,спряжение
konjunkci,союз
konsonant,согласный
korporaci,корпорация
kvaranten,карантин
nominativ,именительный
pentekost,Пятидесятница
piedestal,пьедестал
prepozici,предлог
privilegi,привилегия
promontor,мыс
salamandr,саламандра
testament,завещание
vermicxel,вермишель
interjekci,междометие
supersticx,суеверие
vasxington,Вашингтон
violoncxel,виолончель
arhxitektur,архитектура
interpunkci,пунктуация
jork,Йорк
parok,приход
navig,навигация
kaos,хаос
kimer,химера
korus,хор
monak,монах
iktiokol,ихтиокол
ald,альт
alo,алоэ
api,сельдерей
ari,ария
bas,бас
car,царь
dog,мастиф
dok,док
doz,доза
ego,эго
elf,эльф
etn,этнос
faz,фаза
fon,фон
fuk,обломки
gaz,газ
gem,драгоценность
hum,перегной
jod,йод
jud,еврей
kep,кепи
lat,рейка
lob,доля
mim,мим
mit,миф
muz,муза
nas,ловушка
nav,неф
niz,ястреб
oaz,оазис
opi,опиум
puf,пух
raj,скат
ras,раса
ref,риф
rit,ритуал
rut,рута
sod,сода
tif,тиф
tog,тога
viz,виза
agat,агат
agxi,премия
alen,шило
ambr,амбра
amor,амур
aort,аорта
arom,аромат
astm,астма
astr,небесный
azil,убежище
bard,бард
bomb,бомба
bosk,роща
brom,бром
bust,бюст
cend,цент
cidr,сидр
cirk,цирк
dali,георгин
dign,достоинство
duel,дуэль
duet,дуэт
ebur,слоновая кость
eden,Эдем
egid,щит
erik,вереск
etik,этика
etim,этимон
fars,фарс
fili,филиал
fisk,казна
furi,фурия
gnom,гном
grog,грок
gruz,гравий
gxin,джин
hidr,гидра
hien,гиена
irid,ирис
iris,радужка
istm,перешеек
jesu,Иисус
junk,камыш
kabl,кабель
kali,калий
kame,камео
kast,каста
klor,хлор
kofr,сундук
kolz,рапс
kont,счёт
krab,краб
kres,кресс-салат
kupe,купе
laik,мирянин
lama,лама僧
lanc,копьё
lens,линза
lord,лорд
malt,мальт
mani,мания
medi,среда
milv,коршун
mitr,митра
moru,треска
mosk,мускус
mumi,мумия
naft,нефть
negr,негр
nimb,ореол
norm,норма
obol,обол
ogiv,огива
orgi,оргия
ozon,озон
penc,пенс
pleb,плебеи
podi,подиум
polk,полька
pomp,помпезность
pore,лук-порей
rabi,бешенство
rism,стопка
romb,ромб
rubl,рубль
sabr,сабля
sagu,саго
sald,баланс
salv,залп
sekt,секта
sfer,шар
skem,схема
skol,школа
slip,карточка
sokl,основание
sold,жалованье
sole,камбала
spad,рапира
sxah,шах
talk,тальк
teni,лента
tiar,тиара
tink,линь
tors,торс
tost,тост
trop,троп
turb,юла
ukaz,указ
ulan,улан
uzur,ростовщичество
verv,живость
vink,барвинок
visk,омела
vist,вист
vizi,видение
zuav,зуав
abism,бездна
adept,последователь
afiks,аффикс
afust,лафет
agraf,застёжка
akaci,акация
akciz,акциз
aksel,подмышка
albin,альбинос
alibi,алиби
aline,абзац
alkov,ниша
amfor,амфора
angin,ангина
angor,тоска
anten,антенна
apati,апатия
apoge,апогей
arkad,арка
arkiv,архив
arnik,арника
atlas,атлас
atlet,спортсмен
aviad,авиация
balad,баллада
balet,балет
barak,барак
baron,барон
basen,бассейн
beril,берилл
bibli,Библия
bigot,фанатик
biret,берет
bitum,битум
bivak,лагерь
brecx,брешь
brocx,брошь
bronk,бронх
cigan,цыган
cikut,цикута
cxifr,шифр
debat,дебаты
dekan,декан
dilem,дилемма
diluv,потоп
divan,диван
dolar,доллар
drakm,драхма
dukat,дукат
edikt,указ
eklog,эклога
ekzem,экзема
elegi,элегия
elips,эллипс
elizi,эллизия
emfaz,акцент
epope,эпос
fagot,фагот
fakir,факир
fatal,рок
feuxd,феод
fiakr,кэб
fiask,провал
final,финал
fjord,фьорд
forum,форум
fresk,фреска
furor,хит
galer,галера
galop,галоп
garol,сойка
goril,горилла
hamak,гамак
harem,гарем
harpi,гарпия
helic,винт
helik,улитка
hisop,иссоп
hoboj,гобой
humer,плечевая кость
idiom,идиома
idiot,идиот
ileks,падуб
iluzi,обман
indiga,индиго
jalap,ялаппа
jud/ism##,jud/ism##
kabal,каббала
kadet,кадет
kalif,халиф
kanon,пушка
karat,карат
kazin,казино
kinin,хинин
kirsx,кирш
kloak,сточная яма
kobaj,морская свинка
kokon,кокон
kolik,колика
kolos,колосс
komet,комета
koral,коралл
korne,роговица
korol,венчик
kozak,казак
krabr,шершень
kreol,креол
kript,склеп
kulis,кулиссы
kumin,тмин
kvast,кисточка
kvint,квинта
lagun,лагуна
lapis,ляпис
larik,лиственница
later,сторона
lazur,лазурь
legat,легат
lirik,лирика
madon,Мадонна
major,майор
mamut,мамонт
medol,мозг
meduz,медуза
melas,патока
melis,мелисса
miasm,миазм
mimoz,мимоза
mitul,мидия
moske,мечеть
motiv,мотив
natri,натрий
nikel,никель
nimfe,кувшинка
noktu,сова
nomad,кочевник
novel,рассказ
nunci,нунций
oksid,оксид
oktav,октава
oniks,оникс
optik,оптика
orbit,орбита
oriol,иволга
ovaci,овация
pagod,пагода
panel,панель
panik,паника
paraf,параф
patos,пафос
pedal,педаль
pedel,служка
peoni,пион
peruk,парик
pigme,пигмей
pirat,пират
pivot,ось
polip,полип
polis,полис
pomad,помада
prior,приор
prism,призма
psalm,псалом
raket,ракета
rebus,загадка
retin,сетчатка
retor,ритор
rezed,резеда
ricin,клещевина
rokok,рококо
rubus,ежевика
rutin,рутина
saliv,слюна
satan,сатана
saten,атлас
seraf,серафим
sifon,сифон
sinap,горчица
sinod,синод
siren,русалка
skalp,скальп
skerc,скерцо
skism,раскол
sonat,соната
sonet,сонет
spasm,спазм
sperm,сперма
splen,хандра
stopl,жнивьё
strof,строфа
sutan,ряса
sxose,шоссе
sxpat,лопата
taler,талер
tanin,танин
tarok,таро
teism,теизм
teist,теист
templ,храм
tenor,тенор
teror,террор
tindr,трут
tiran,тиран
tonel,тонна
trofe,трофей
trust,трест
tunik,туника
utopi,утопия
vanel,чибис
vinkt,зажим
viper,гадюка
viski,виски
zefir,зефир
advent,Адвент
aksiom,аксиома
akvari,аквариум
algebr,алгебра
alkemi,алхимия
ambici,амбиция
amulet,амулет
anagal,анагал
anarki,анархия
anatom,анатом
ancxov,анчоус
anemon,анемон
anilin,анилин
aplomb,уверенность
apolog,басня
arbust,куст
arhxiv,архив
asesor,советник
ateism,атеизм
ateist,атеист
auxkci,аукцион
balast,балласт
balkon,балкон
balzam,бальзам
bandit,бандит
barbar,варвар
barier,барьер
bateri,батарея
batist,батист
bazalt,базальт
beletr,литература
bilanc,баланс
bilard,бильярд
binokl,бинокль
biolog,биолог
blazon,герб
blokad,блокада
bordel,бордель
braman,брахман
brigad,бригада
buduar,будуар
burnus,бурнус
celeri,сельдерей
cidoni,айва
ciklon,циклон
ciklop,циклоп
dekret,указ
depesx,депеша
despot,деспот
diabet,диабет
diadem,диадема
diakon,дьякон
diplom,диплом
divizi,дивизия
dragon,драгун
eklips,затмение
eksces,избыток
ekstaz,экстаз
ekvaci,уравнение
emblem,эмблема
emulsi,эмульсия
endivi,эндивий
epilog,эпилог
epitet,эпитет
epizod,эпизод
erupci,извержение
eskort,эскорт
estrad,сцена
etiket,этикет
euxnuk,евнух
ezofag,пищевод
faktor,фактор
falang,фаланга
fanfar,фанфара
feniks,феникс
feston,гирлянда
feticx,фетиш
fleksi,гибкость
floren,флорин
format,формат
frakci,дробь
fregat,фрегат
galant,подснежник
gangli,ганглий
genist,дрок
geolog,геолог
gerani,герань
gigant,гигант
glazur,глазурь
glikoz,глюкоза
glukoz,глюкоза
gondol,гондола
grafit,графит
gulden,гульден
harpun,гарпун
hetman,атаман
hipnot,гипноз
incens,ладан
indeks,индекс
inflam,воспаление
jaguar,ягуар
jezuit,иезуит
jxaket,пиджак
kadavr,труп
kadenc,ритм
kalibr,калибр
kameli,камелия
kantat,кантата
kanton,кантон
karbon,углерод
karcer,тюрьма
karier,карьера
kariol,повозка
katedr,кафедра
kauxci,залог
kazern,казарма
kokard,кокарда
kolodi,коллодий
koloni,колония
kompas,компас
kondor,кондор
konjak,коньяк
korife,хорефей
kornet,корнет
korsar,корсар
korset,корсет
korvet,корвет
kotlet,котлета
kursiv,курсив
laktuk,салат
lavend,лаванда
loteri,лотерея
lucern,лампа
maksim,максима
malari,малярия
marasm,истощение
markiz,маркиз
martir,мученик
masagx,массаж
mazurk,мазурка
medium,медиум
melodi,мелодия
mentor,наставник
merkat,рынок
mespil,мушмула
meteor,метеор
metrik,метрика
mikrob,микроб
mirakl,чудо
miriad,мириады
molusk,моллюск
monark,монарх
morfin,морфин
mozaik,мозаика
munici,боеприпасы
nektar,нектар
orkide,орхидея
pacxul,пачули
parodi,пародия
pavian,павиан
pedant,педант
pepsin,пепсин
petard,петарда
piastr,пиастр
pistil,пестик
podagr,подагра
ponton,понтон
portal,портал
portik,крыльцо
prelat,прелат
prelud,увертюра
premis,предпосылка
profan,осквернитель
profil,профиль
prolog,пролог
puding,пудинг
pupitr,пюпитр
pustul,пустула
rabarb,ревень
regent,регент
rektor,ректор
relief,рельеф
retort,реторта
romanc,романс
rotond,ротонда
sandal,сандалия
santal,сандал
sarong,саронг
satrap,сатрап
sektor,сектор
septet,септет
serajl,гарем
sevrug,севрюга
sfinks,сфинкс
siluet,силуэт
simbol,символ
sinkop,обморок
sintez,синтез
skelet,скелет
sofist,софист
spektr,спектр
spiral,спираль
sponde,спондей
suflor,суфлёр
sultan,султан
sxalup,шлюпка
sxankr,язва
sxarad,шарада
taksus,тис
taktik,тактика
talmud,Талмуд
tamtam,тамтам
tandem,тандем
tapiok,тапиока
teolog,теолог
teorem,теорема
terapi,терапия
tercet,триолет
termit,термит
tonsur,тонзура
torped,торпеда
trapez,трапеция
tribut,дань
triumf,триумф
turbin,турбина
unison,унисон
uragan,ураган
vampir,вампир
verand,веранда
vermut,вермут
vinjet,виньетка
zigzag,зигзаг
zodiak,зодиак
admiral,адмирал
aerolit,метеорит
aforism,афоризм
agronom,агроном
akrobat,акробат
akvarel,акварель
alegori,аллегория
alhxemi,алхимия
almanak,альманах
ambrozi,амброзия
ametist,аметист
amnesti,амнистия
anagram,анаграмма
analogi,аналогия
anapest,анапест
anatomi,анатомия
angelik,дудник
anomali,аномалия
antilop,антилопа
antipod,антипод
antitez,антитеза
apoteoz,обожествление
apozici,аппозиция
arabesk,арабеска
arkaism,архаизм
asonanc,ассонанс
atavism,атавизм
atribut,свойство
auxreol,ореол
bankier,банкир
barikad,баррикада
bariton,баритон
bastard,ублюдок
bazilik,базилика
biograf,биограф
biologi,биология
bisturi,скальпель
bombast,помпезность
botanik,ботаника
celuloz,целлюлоза
ceramik,керамика
cilindr,цилиндр
cistern,цистерна
citadel,крепость
cxevron,стропило
demagog,демагог
diagnoz,диагноз
dialekt,диалект
diametr,диаметр
difteri,дифтерия
diftong,дифтонг
dinamik,динамика
dinamit,динамит
dinasti,династия
doktrin,доктрина
ekspres,экспресс
eliksir,эликсир
eminenc,высокопреосвященство
epiderm,эпидермис
epifani,Богоявление
epigraf,эпиграф
epigram,эпиграмма
erudici,эрудиция
estetik,эстетика
etim/olog##,etim/olog##
etiolog,этиолог
evoluci,эволюция
farmaci,фармация
filolog,филолог
filozof,философ
fonetik,фонетика
fronton,фронтон
gangren,гангрена
gardeni,гарде́ния
gencian,генциан
geodezi,геодезия
geograf,географ
geologi,геология
geometr,геометр
gerundi,герундий
gilotin,гильотина
gimnast,гимнаст
gimnazi,гимназия
guberni,провинция
hiacint,гиацинт
hipotek,ипотека
hipotez,гипотеза
histeri,истерия
homonim,омоним
hxirurg,хирург
judaism,иудаизм
jxargon,жаргон
kalomel,каломель
kanaben,коноплянка
kanibal,каннибал
kanonik,каноник
kaporal,капрал
karamel,карамель
karavan,караван
kartusx,картуш
katolik,католик
kazemat,каземат
komplot,заговор
koncesi,уступить
kontakt,контакт
korsajx,лиф корсета
kreozot,креозот
kriteri,критерий
kvadril,кадриль
kvestor,квестор
letargi,летаргия
liturgi,литургия
lozangx,ромб
lumbrik,червь
mahagon,махагон
majolik,майолика
makadam,щебень
makaron,макарун
malakit,малахит
mansard,чердак
margxen,край
matador,матадор
mekanik,механика
merlang,мерланг
metafor,метафора
minaret,минарет
mirabel,мирабель
molekul,молекула
monarki,монархия
monolog,монолог
monopol,монополия
nikotin,никотин
obelisk,обелиск
oleandr,олеандр
oligark,олигарх
omnibus,омнибус
onobrik,эспарцет
optativ,оптатив
pacient,пациент
palinur,лангуст
pamflet,памфлет
panoram,панорама
papirus,папирус
parabol,парабола
parafin,парафин
paskvil,памфлет
pasxtel,пастель
patolog,патолог
patrici,патриций
patriot,патриот
pedagog,педагог
pelerin,накидка
pension,пансион
percept,восприятие
pilastr,пилястр
piramid,пирамида
plagiat,плагиат
plantag,подорожник
polemik,спор
prefekt,префект
procesi,шествие
prognoz,прогноз
prozodi,просодия
puritan,пуританин
retorik,риторика
revizor,аудитор
samovar,самовар
sarkasm,сарказм
segment,отрезок
sekreci,секрет
semafor,семафор
serenad,серенада
sifilis,сифилис
simetri,симметрия
simfoni,симфония
simptom,симптом
sinagog,синагога
sinedri,синедрион
sinonim,синоним
sintaks,синтаксис
skandal,скандал
skrupul,тщательность
stearin,стеарин
sugesti,намёк
sxiling,шиллинг
taburet,табурет
tangent,касательная
teokrat,теократ
teologi,теология
trombon,тромбон
ultimat,ультиматум
uvertur,увертюра
variant,вариант
vazelin,вазелин
verdikt,приговор
veteran,ветеран
vokativ,звательный падеж
abnegaci,отречение
adjutant,адъютант
aeroplan,самолёт
agronomi,агрономия
akvafort,гравюра
akvilegi,водосбор
alabastr,алебастр
aligator,аллигатор
ambulanc,скорая помощь
antipati,антипатия
antologi,антология
apostrof,апостроф
arbalest,арбалет
areometr,ареометр
arkeolog,археолог
arkitekt,архитектор
artileri,артиллерия
astrolog,астролог
astronom,астроном
atmosfer,атмосфера
auxdienc,приём
balistik,баллистика
balzamin,бальзамин
banderol,обёртка
barelief,барельеф
batalion,батальон
bazilisk,василиск
biografi,биография
ceremoni,церемония
dekadenc,упадок
delegaci,делегация
demagogi,демагогия
demokrat,демократ
diafragm,диафрагма
diagonal,диагональ
diapazon,камертон
didaktik,дидактика
difterit,дифтерия
diktator,диктатор
discxipl,ученик
dispepsi,несварение
ditiramb,дифирамб
dromedar,дромедар
ekstrakt,извлечение
epilepsi,эпилепсия
erizipel,рожа
etimologi##,etimologi##
etiologi,этиология
etnograf,этнограф
evangeli,евангелие
faksimil,факсимиле
fakultat,факультет
felieton,фельетон
feminism,феминизм
feminist,феминист
filologi,филология
filozofi,философия
fiziolog,физиолог
fonograf,фонограф
galantin,галантина
garnitur,аксессуары
garnizon,гарнизон
genealog,генеалог
geometri,геометрия
glicerin,глицерин
gliciriz,солодка
grafolog,графолог
gramofon,граммофон
gutaperk,гуттаперча
halebard,алебарда
harmonik,гармошка
hegemoni,гегемония
hekatomb,гекатомба
hierarki,иерархия
hipodrom,ипподром
honorari,гонорар
horoskop,гороскоп
hortensi,гортензия
hxirurgi,хирургия
idiotism,идиома
imperial,верхний ярус
indigxen,абориген
inkognit,инкогнито
intervju,интервью
kalendul,ноготки
kardinal,кардинал
katafalk,катафалк
katakomb,катакомба
katedral,собор
katekist,катехизатор
kavaleri,кавалерия
komandit,коммандитное
konfekci,одежда
konflikt,конфликт
kontralt,контральто
kontrast,контраст
konvenci,соглашение
kosmetik,косметика
kreditor,кредитор
ksilofon,ксилофон
kvocient,частное
labirint,лабиринт
lauxreat,лауреат
logaritm,логарифм
logogrif,загадка
makaroni,макароны
mandaren,чиновник
mandolin,мандолина
manifest,манифест
manometr,манометр
margarin,маргарин
marionet,марионетка
mauxzole,мавзолей
mekanism,механизм
melodram,мелодрама
meridian,меридиан
metronom,метроном
metropol,метрополия
mikrofon,микрофон
miniatur,миниатюра
monogram,монограмма
monomani,мономания
naftalin,нафталин
narkotik,наркотик
navigaci,навигация
nekrolog,некролог
nepotism,кумовство
nihilism,нигилизм
nihilist,нигилист
nostalgi,ностальгия
numismat,нумизмат
obligaci,облигация
oligarhx,олигарх
oligarki,олигархия
optimism,оптимизм
optimist,оптимист
organism,организм
orografi,орография
pacifism,пацифизм
pacifist,пацифист
palanken,паланкین
panteism,пантеизм
panteist,пантеист
pantomim,пантомима
paradigm,парадигма
parafraz,перефразирование
paragraf,параграф
partitur,партитура
patologi,патология
pedagogi,педагогика
perimetr,периметр
peristil,перистиль
pesimism,пессимизм
pesimist,пессимист
pleonasm,избыточность
poliglot,полиглот
preterit,прошедшее
procedur,процедура
projekci,проекция
proporci,доля
prospekt,брошюра
protokol,протокол
prototip,прототип
prozelit,новообращённый
psikolog,психолог
referenc,ссылка
renesanc,Возрождение
reputaci,репутация
revelaci,откровение
revolver,револьвер
rojalist,роялист
sacerdot,священник
sakristi,ризница
sarkofag,саркофаг
seminari,семинар
sensaci,сенсация
sfinkter,сфинктер
silogism,силлогизм
solecism,ошибка
stipendi,стипендия
strategi,стратегия
subvenci,субсидия
talisman,талисман
tamburin,бубен
tarantel,тарантелла
tarantul,тарантул
teleskop,телескоп
teokrati,теократия
tipograf,типограф
topograf,топограф
toreador,тореадор
transept,трансепт
tuberkul,бугорок
amfiteatr,амфитеатр
apopleksi,инсульт
arbitraci,арбитраж
arhxeolog,археолог
arhxitekt,архитектор
aritmetik,арифметика
arkeologi,археология
arkipelag,архипелаг
astrologi,астрология
astronomi,астрономия
auxditori,аудитория
auxtograf,автограф
auxtokrat,деспот
deklaraci,заявление
demokrati,демократия
dialektik,диалектика
disciplin,дисциплина
disenteri,дизентерия
entomolog,энтомолог
etnografi,этнография
filantrop,благотворитель
fiziologi,физиология
fizionomi,лицо
fotografi,фотография
genealogi,генеалогия
gladiator,гладиатор
grafologi,графология
harmonium,гармониум
heksametr,гекзаметр
heliotrop,гелиотроп
hidrofobi,гидрофобия
hieroglif,иероглиф
higrometr,гигрометр
hipopotam,бегемот
homeopati,гомеопатия
ideografi,идеография
imperativ,повелительное наклонение
imperfekt,несовершенный
impresari,импресарио
indikativ,изъявительное
infanteri,пехота
infinitiv,инфинитив
inkvizici,инквизиция
intendant,управляющий
kabriolet,кабриолет
kandelabr,канделябр
karikatur,карикатура
kartograf,картограф
kastanjet,кастаньеты
katalepsi,каталепсия
katastrof,катастрофа
katehxist,катехизатор
kompromis,компромисс
konduktor,проводник
konkurenc,конкуренция
kontinent,континент
kontrabas,контрабас
konvolvul,вьюнок
kosmogoni,космогония
kosmograf,космограф
krizantem,хризантема
kronologi,хронология
kronometr,хронометр
krucifiks,распятие
kvadratur,квадратура
litografi,литография
lokomobil,тягач
melankoli,меланхолия
metafizik,метафизика
mikrometr,микрометр
mikroskop,микроскоп
mineralog,минералог
monoteism,монотеизм
neologism,неологизм
oligarhxi,олигархия
ornitolog,орнитолог
ostracism,изгнание
paleograf,палеограф
palisandr,палисандр
paroksism,припадок
pentametr,пентаметр
plutokrat,плутократ
politeism,многобожие
providenc,провидение
pulcxinel,Пульчинелла
purgatori,чистилище
recitativ,речитатив
reformaci,реформация
rekrement,осадок
repertuar,репертуар
rezignaci,смирение
sakrament,таинство
sekundant,секундант
skarlatin,скарлатина
skolastik,схоластика
somnambul,лунатик
sortiment,ассортимент
spekulaci,спекуляция
spiritism,spirit/ism##
spiritist,spirit/ist##
stalagmit,сталактит
stalaktit,сталактит
statistik,статистика
sxovinism,шовинизм
sxovinist,шовинист
tipografi,типография
topografi,топография
velociped,велосипед
veterinar,ветеринар
vivisekci,вивисекция
abiturient,выпускник
alternativ,альтернатива
anakronism,анахронизм
antropolog,антрополог
arhxeologi,археология
arhxipelag,архипелаг
aristokrat,аристократ
arkitektur,архитектура
auxtokrati,автократия
beletristik,изящнаялитература
bibliograf,библиограф
civilizaci,цивилизация
dinamometr,динамометр
ekskrement,экскременты
entomologi,энтомология
euxkaristi,евхаристия
filantropi,благотворительность
hipertrofi,гипертрофия
ingredienc,ингредиент
inkvizitor,инквизитор
kartografi,картография
koeficient,коэффициент
kompliment,комплимент
kongregaci,конгрегация
konsistori,консистория
kontraband,контрабанда
kontribuci,репарации
kosmografi,космография
kosmopolit,космополит
krestomati,хрестоматия
kvintesenc,квинтэссенция
manufaktur,фабрика
manuskript,рукопись
metamorfoz,превращение
meteorolog,метеоролог
mineralogi,минералогия
naturalism,натурализм
numismatik,нумизматика
ornitologi,орнитология
paleografi,палеография
perspektiv,перспектива
plutokrati,плутократия
pneuxmatik,шина
prerogativ,прерогатива
pseuxdonim,псевдоним
stenografi,стенография
subjunktiv,сослагательное
superlativ,суперлатив
tuberkuloz,туберкулёз
admiralitat,адмиралтейство
antropologi,антропология
aristokrati,аристократия
bibliografi,библиография
cirkumfleks,циркумфлекс
demonstraci,доказательство
departement,департамент
enciklopedi,энциклопедия
hermafrodit,гермафродит
hidrostatik,гидростатика
hidroterapi,гидротерапия
imperialism,империализм
inauxguraci,церемония
kalejdoskop,калейдоскоп
kondicional,условное наклонение
konfederaci,конфедерация
konglomerat,конгломерат
kontrapunkt,контрапункт
manifestaci,демонстрация
metempsikoz,переселение душ
meteorologi,метеорология
observatori,обсерватория
paleontolog,палеонтолог
pleuxronekt,камбала
protagonist,главный герой
protektorat,протекторат
pseuxd,ложный
racionalism,racional/ism##
racionalist,racional/ist##
reuxmatism,ревматизм
temperament,темперамент
tragikomedi,трагикомедия
administraci,управление
demonstrativ,указательное
konservatori,консерватория
paleontologi,палеонтология
paralelogram,параллелограмм
spiritualism,спиритуализм
spiritualist,спиритуалист
trigonometri,тригонометрия
auxtobiografi,автобиография
t.e.,т.е.
k.t.p.,и т.д.
kiom,сколько
kiom##,kiom##
kiom##,kiom##
dum,в течение
dum##,dum##
gxis,до
gxis##,ĝis##
anstataux,вместо
anstataux##,anstataŭ##
kiu##,kiu##
kiu,кто
tiu##,tiu##
tiu##,тот
cxiu,всякий
cxiu##,ĉiu##
neniu,никто
neniu##,neniu##
ambaux,оба
ambaux##,ambaŭ##
tiu cxi##,tiu ĉi##
tiu cxi##,tiu ĉi##
fiks,закреплённый
fiks##,fiks##
fals,ложный
fals##,fals##
cxu##,ĉu##
cxu,ли
kial,почему
kial##,kial##
kiel,как
kiel##,kiel##
tamen,однако
tamen##,tamen##
apenaux,едва
apenaux##,apenaŭ##
kvazaux,как будто
kvazaux##,kvazaŭ##
cxirkaux,вокруг
cxirkaux##,ĉirkaŭ##
precip##,precip##
precip,главный
tut,весь
tut##,tut##
rest##,rest##
rest,остаток
cxiel,всячески
cxiel##,ĉiel##
interes,заинтересовать
interes##,interes##
lig,связывать
lig##,lig##
rul,катить
rul##,rul##
arm##,arm##
arm,оружие
fos,копать
fos##,fos##
plant,сажать
plant##,plant##
orient##,orient##
orient,восток
fald,складывать
fald##,fald##
kaj,и
kaj##,kaj##
amas,масса
amas##,amas##
kopi,копировать
kopi##,kopi##
fotograf,фотографировать
fotograf##,fotograf##
cxar,потому
cxar##,ĉar##
fikci##,fikci##
fikci,вымысел
nul,ноль
nul##,nul##
klar##,klar##
klar,ясный
artikol,"статья, артикль"
artikol##,artikol##
auxgust,август
auxgust##,aŭgust##
por,для
por##,por##
opozici,противостоять
opozici##,opozici##
fot,фото
vibr,дрожать
oscil,колебаться
fluktu,колебаться
indigo,индиго
ad,ad##
ad,постоянно
ag,действовать
al,к
am,любить
an,член
ar,группа
as,наст. вр.
at,продолжается
av,дед
bo,по браку
ci,твой
da,из
de,из
di,бог
Di,Di##
do,итак
du,два
ec,качество
eg,очень
ej,место
ek,нач-
el,из
em,склонен
en,внутри
er,частица
et,маленький
fe,фея
fi,fi##
fi,мерзкий
ge,оба пола
ha,ах!
he,эй!
ho,о!
ia,ослиный
id,потомок
ie,где-то
ig,заставить
il,инструмент
in,женский
io,что-то
ir,идти
is,был
it,завершён
iu,iu##
iu,кто-то
ja,да
je,на
ju,чем
ke,что
l',л'
la,определённый артикль
li,его
lu,арендовать
mi,я
ne,нет
ni,наш
nj,-очка
nu,ну
od,ода
ok,восемь
ol,чем
on,доля
op,совместно
or,золото
os,буд-
ot,ещё не начат
ov,яйцо
pi,благочестивый
po,по
re,снова
se,если
si,свой
te,чай
uj,сосуд
ul,чел
um,неопределённый
ur,тур
us,бы
uz,использовать
ve,увы
vi,твой
homeopat,гомеопат
zoolog,зоолог
